ID,srcLat,srcLon
LB-160790,42.27724,-71.17261
LB-160915,42.33409645,-71.10548096
LB-162550,34.24438675,-73.6513909
LB-165850,34.24438675,-73.6513909
LB-162571,42.36290452,-71.05499981
LB-161361,42.34971,-71.08124
LB-163200,42.360951,-71.06816
LB-163968,42.35541816,-71.0599055
LB-162572,42.36503,-71.05348
LB-146400,34.24438675,-73.6513909
LB-144135,42.30114,-71.05975
LB-159601,42.32256072,-71.10826877
LB-145480,42.34887,-71.152162
LB-143862,42.28577776,-71.09125061
LB-155715,42.30025631,-71.11310006
LB-155925,42.350918,-71.131529
LB-157964,42.28341977,-71.0555186
LB-154430,42.33507581,-71.03574226
LB-157969,42.37826604,-71.0608887
LB-154485,42.27339,-71.06795
LB-139202,42.34766922,-71.10594799
LB-153841,42.36874337,-71.03635019
LB-146396,42.375123,-71.038568
LB-154679,42.28738,-71.1492
LB-134078,42.34325792,-71.07250983
LB-149183,42.36216,-71.05749
LB-148028,34.24438675,-73.6513909
LB-144994,42.32841287,-71.08195321
LB-145840,42.34464375,-71.09951062
LB-138942,42.36243637,-71.13892332
LB-142552,42.35174928,-71.06317859
LB-143515,42.33014026,-71.08366243
LB-139777,42.38991627,-71.01235331
LB-135168,42.33831937,-71.07069698
LB-142546,42.25975,-71.15842
LB-142546,42.25975,-71.15842
LB-144133,42.27378256,-71.06785021
LB-125132,42.35199,-71.06439
LB-144278,42.34426675,-71.09988633
LB-134966,42.25553003,-71.1211114
LB-142890,42.375018,-71.03818
LB-143247,42.379657,-71.027741
LB-142550,42.34448274,-71.04388091
LB-126366,42.25578949,-71.12298968
LB-140281,42.31478,-71.05699
LB-139771,42.3406664,-71.1515204
LB-139226,42.367147,-71.036154
LB-135803,42.337071,-71.076601
LB-138939,42.34363,-71.07176
LB-140277,42.33135,-71.03707
LB-139598,42.258893,-71.12378
LB-139450,42.35171276,-71.06253381
LB-138053,42.369908,-71.037913
LB-139775,42.37721,-71.06636
LB-138284,42.351317,-71.131249
LB-139449,42.31909,-71.11164
LB-139452,42.34099,-71.08164
LB-138680,42.36141706,-71.06601868
LB-138923,42.32405,-71.05704
LB-134971,42.2871964,-71.12924106
LB-138437,42.353291,-71.132319
LB-139871,42.37861,-71.02936
LB-137391,42.35001,-71.04099
LB-138282,42.37698436,-71.03357277
LB-135812,42.28974,-71.06296
LB-135034,42.30440072,-71.05896125
LB-134980,42.25569365,-71.12080014
LB-138888,42.33542,-71.037
LB-133944,42.29388,-71.04627
LB-137619,34.24438675,-73.6513909
LB-130760,42.34515158,-71.0628322
LB-130760,42.34515158,-71.0628322
LB-128814,42.34968,-71.08305
LB-129675,42.30036,-71.11297
LB-130749,42.28611,-71.13703
LB-99482,34.24438675,-73.6513909
LB-98829,42.33041,-71.0584
LB-126508,42.3846,-71.00029
LB-127503,42.26957973,-71.14851664
LB-123817,42.3538,-71.13733
LB-126385,42.36564567,-71.06165505
LB-126410,,
LB-126649,34.24438675,-73.6513909
LB-126408,,
LB-115958,34.24438675,-73.6513909
LB-99554,42.36267,-71.13595
LB-121376,42.33487,-71.07545
LB-99665,42.36291646,-71.06416471
LB-124751,42.35171276,-71.06253381
LB-123506,,
LB-98915,42.35337847,-71.06197943
LB-124583,34.24438675,-73.6513909
LB-106825,,
LB-98873,34.24438675,-73.6513909
LB-99061,42.34042618,-71.05295894
LB-99429,42.32608734,-71.06361143
LB-99597,42.376005,-71.064725
LB-98879,34.24438675,-73.6513909
LB-99480,34.24438675,-73.6513909
LB-98872,34.24438675,-73.6513909
LB-99471,34.24438675,-73.6513909
LB-98831,42.28069,-71.04813
LB-99481,34.24438675,-73.6513909
LB-98838,42.25783,-71.12278
LB-99477,34.24438675,-73.6513909
LB-98878,34.24438675,-73.6513909
LB-98832,42.2928327,-71.09577289
LB-98837,42.37102,-71.039437
LB-99473,34.24438675,-73.6513909
LB-98882,34.24438675,-73.6513909
LB-98841,42.27152,-71.09401
LB-98846,42.33212654,-71.02702854
LB-98830,42.28303,-71.05628
LB-99478,34.24438675,-73.6513909
LB-99469,34.24438675,-73.6513909
LB-98876,34.24438675,-73.6513909
LB-98840,42.3382142,-71.05027524
